attendance,midsem,assignment,gpa,quiz,result
100,20,3,1.9,4,1
27,9,3,2.1,3,0
73,0,3,6.7,5,0
38,3,3,9.2,0,0
56,0,4,1.6,3,0
16,16,2,9.6,2,1
85,16,1,3.2,3,1
89,6,3,3.9,0,1
43,19,4,1.5,1,1
24,14,5,6.2,5,1
16,12,4,6.0,4,1
12,1,4,4.4,1,0
83,18,2,4.8,5,1
24,12,3,6.2,3,1
67,10,4,5.8,2,1
9,14,4,3.7,3,1
66,9,3,8.8,0,1
17,8,2,6.7,0,0
99,8,4,2.1,2,1
85,19,1,3.2,5,1
33,0,0,7.9,1,0
7,16,5,1.0,0,0
39,11,0,7.5,0,0
82,9,0,3.6,2,1
41,4,2,5.5,1,0
40,17,4,2.8,3,1
100,14,0,9.9,4,1
5,5,0,9.1,2,0
51,6,5,9.3,1,0
25,16,3,1.8,4,0
63,5,4,8.4,2,1
97,7,4,5.4,3,1
58,11,5,7.1,3,1
55,20,3,2.2,1,1
58,13,4,7.1,1,1
69,11,1,9.1,3,1
100,9,5,2.7,3,1
32,19,2,2.3,2,1
52,14,3,1.0,5,1
21,6,5,2.7,5,0
20,8,0,5.4,1,0
69,9,4,8.3,4,1
69,9,1,2.8,3,0
3,15,1,6.2,4,0
93,6,2,4.8,1,0
74,4,5,2.9,1,0
61,2,1,5.1,0,0
61,17,5,1.7,3,1
93,10,4,6.4,5,1
94,14,4,1.2,5,1
23,20,1,7.3,1,1
54,19,4,1.8,1,1
8,4,5,10.0,3,0
2,11,4,8.2,0,0
30,3,0,3.4,0,0
39,14,5,4.3,0,1
100,8,3,2.6,0,1
35,6,4,7.7,2,0
23,9,4,3.8,3,0
94,12,5,7.6,3,1
5,7,2,0.2,3,0
65,11,3,1.4,5,1
83,18,3,3.6,0,1
91,0,3,1.1,0,0
74,15,1,6.0,5,1
3,16,0,0.5,5,0
78,17,0,8.6,1,1
5,10,2,7.6,2,0
93,17,3,2.2,5,1
50,6,3,4.8,3,0
61,17,4,4.5,2,1
56,7,5,7.2,5,1
65,5,1,4.0,3,0
78,6,1,0.3,0,0
74,9,2,2.7,0,0
7,10,0,4.7,3,0
25,12,3,9.7,4,1
50,8,5,8.8,0,1
44,6,2,1.8,1,0
43,8,1,7.2,5,0
4,12,1,9.4,0,0
69,2,1,0.1,1,0
25,2,3,7.2,2,0
67,0,3,4.6,0,0
18,20,3,6.8,5,1
83,19,4,6.1,0,1
96,1,0,9.8,5,1
19,2,1,2.9,2,0
11,14,1,7.9,5,0
46,5,4,2.3,1,0
0,12,1,4.4,4,0
89,20,1,9.8,5,1
13,0,3,7.7,5,0
63,19,3,3.2,1,1
37,18,0,6.2,3,1
36,0,1,0.5,3,0
10,20,2,2.7,3,1
99,1,1,7.2,5,0
76,14,1,5.7,2,1
2,13,0,4.7,1,0
32,18,2,6.9,5,1
5,10,1,4.0,0,0
49,14,5,0.3,5,1
9,5,5,4.4,3,0
4,19,2,9.0,1,0
22,8,5,8.6,0,0
9,4,3,4.1,1,0
43,19,3,0.2,2,1
1,1,2,6.4,3,0
12,5,1,7.4,4,0
39,17,2,2.9,5,1
1,18,5,4.8,3,1
83,8,2,9.9,3,1
64,20,5,5.8,2,1
62,5,3,3.5,0,0
100,13,2,6.3,3,1
72,12,4,1.8,0,1
16,10,5,2.0,0,0
8,11,4,9.2,2,0
74,18,3,2.4,3,1
14,18,1,3.1,5,1
23,20,5,5.4,2,1
37,18,1,9.0,2,1
34,12,3,7.8,4,1
93,13,1,0.4,5,1
94,17,5,6.9,2,1
48,11,0,5.0,4,0
68,3,5,4.8,0,0
61,9,5,6.9,5,1
59,16,4,2.0,5,1
49,3,0,9.8,0,0
77,11,0,6.5,1,1
74,12,0,3.7,5,1
8,3,5,6.0,1,0
33,9,3,2.2,0,0
75,2,0,6.3,3,0
98,14,2,0.3,1,1
34,1,1,3.4,2,0
0,16,3,7.5,5,1
39,5,2,8.1,1,0
63,7,5,2.5,5,1
21,2,5,5.4,0,0
59,17,2,5.3,3,1
63,0,4,4.2,0,0
92,15,4,2.3,3,1
71,6,2,7.0,5,0
10,2,4,2.5,1,0
100,3,1,9.1,2,1
13,8,1,5.3,2,0
59,4,5,8.7,0,0
29,18,4,2.9,5,1
34,14,0,8.1,3,0
84,7,2,1.1,1,1
36,5,1,7.7,3,0
4,17,4,3.9,3,1
82,18,4,4.7,3,1
77,14,1,1.7,5,1
25,6,1,0.2,1,0
61,9,0,6.7,5,0
3,5,4,5.9,3,0
88,13,4,6.2,5,1
41,16,3,2.6,2,1
88,8,5,2.4,0,1
17,18,0,8.3,4,1
39,4,1,7.6,3,0
71,6,1,3.4,2,0
38,18,2,6.4,5,1
13,19,5,8.3,2,1
31,6,1,8.9,0,0
50,1,4,0.1,0,0
37,15,1,8.1,4,1
96,12,4,3.5,4,1
22,7,4,7.2,4,0
62,5,0,3.7,1,0
14,5,1,6.1,1,0
96,8,0,6.5,2,1
24,3,5,4.0,5,0
16,10,4,5.1,0,0
96,4,5,7.3,3,1
65,16,1,4.8,0,1
77,19,5,0.1,1,1
52,6,5,0.1,2,0
50,14,1,6.6,3,1
38,14,0,8.5,4,1
50,13,0,7.9,4,1
69,12,4,3.1,1,1
5,10,4,4.7,2,0
66,12,1,2.3,5,1
6,8,1,9.9,0,0
50,9,3,2.6,1,0
71,3,3,4.2,5,0
41,16,2,6.8,5,1
63,13,4,8.8,0,1
14,17,5,0.5,3,1
28,10,2,3.0,0,0
32,15,2,5.7,3,0
93,0,0,6.2,5,0
26,6,5,0.7,2,0
35,9,0,6.6,1,0
28,8,3,5.3,0,0
37,2,2,8.3,2,0
56,13,3,2.2,2,1
96,14,5,2.0,0,1
100,1,5,7.9,4,1
26,13,4,7.0,5,1
54,15,1,7.9,4,1
32,6,0,7.8,3,0
67,3,4,1.0,2,0
85,17,4,2.8,1,1
65,4,0,2.6,1,0
9,5,0,9.3,2,0
4,6,5,4.9,4,0
73,14,5,1.1,5,1
96,0,2,2.9,2,0
37,3,3,8.7,3,0
12,0,5,8.5,2,0
30,10,4,9.0,0,1
46,17,2,3.9,4,1
99,13,2,6.4,0,1
87,10,4,2.8,0,1
51,9,5,1.8,2,1
55,16,4,0.2,5,1
14,3,1,2.2,2,0
28,14,5,6.0,5,1
7,15,3,9.0,1,1
4,20,4,1.3,5,1
28,12,5,9.2,0,1
46,8,0,3.5,2,0
67,10,1,4.3,1,0
75,10,3,3.6,0,0
44,5,5,4.1,1,0
1,0,0,2.6,4,0
26,5,5,7.0,3,0
94,12,0,7.6,0,1
35,4,3,8.2,2,0
35,14,1,3.4,5,1
25,17,0,7.6,4,0
42,19,2,6.4,1,1
26,13,3,9.6,3,1
68,14,3,4.2,5,1
19,4,4,9.9,0,0
10,3,1,7.4,3,0
73,1,2,7.8,4,0
37,6,2,0.3,3,0
5,9,4,5.0,0,0
71,15,0,5.3,4,1
22,9,0,0.4,1,0
46,17,2,3.1,0,1
89,16,1,9.6,3,1
45,20,0,4.3,0,1
11,12,3,1.9,4,0
89,0,5,5.1,3,1
12,0,4,0.3,1,0
61,14,1,5.2,5,1
81,0,0,5.9,2,0
88,5,5,3.6,1,1
96,12,2,7.6,0,1
59,0,4,1.4,2,0
42,4,0,8.8,5,0
75,8,2,9.6,5,1
99,16,0,0.0,4,1
67,15,4,8.4,5,1
4,7,3,5.1,3,0
36,16,3,4.6,3,1
71,14,5,2.4,4,1
91,0,2,4.5,5,1
30,11,3,9.5,0,0
8,4,4,2.1,1,0
50,5,2,1.8,2,0
28,0,0,2.4,4,0
77,0,1,5.5,5,0
39,9,0,9.3,0,0
40,9,4,5.7,0,0
85,2,5,2.4,2,0
10,16,2,4.4,4,1
22,18,0,3.9,1,0
0,10,2,0.5,1,0
45,17,3,5.1,4,1
100,1,1,1.3,3,0
20,8,4,8.4,5,1
89,16,0,5.5,1,1
35,13,1,8.4,3,0
53,3,4,9.6,4,1
86,16,4,9.4,5,1
56,16,5,1.0,0,1
0,11,3,9.4,4,0
62,19,5,8.0,0,1
53,17,5,7.8,4,1
54,2,2,0.9,3,0
39,10,2,1.8,5,0
14,17,1,9.8,3,1
20,3,3,2.1,5,0
46,16,4,1.7,4,1
72,17,3,3.6,0,1
52,4,3,9.1,4,0
8,13,1,4.8,0,0
73,9,2,9.2,3,1
51,14,3,3.3,2,1
56,0,3,2.3,1,0
25,15,3,5.0,3,1
40,10,0,6.2,4,0
34,19,3,3.9,4,1
62,5,3,3.5,0,0
24,15,4,2.2,1,1
89,1,5,2.8,5,1
74,0,0,6.7,3,0
37,8,3,3.7,1,0
1,11,5,0.8,1,0
6,16,3,1.4,3,0
81,14,1,3.7,0,1
90,18,1,9.2,5,1
33,9,5,3.8,0,0
90,11,0,0.6,0,0
16,13,4,4.2,2,0
42,8,0,6.7,1,0
58,12,0,5.9,2,1
50,2,1,2.8,0,0
53,20,1,6.9,5,1
23,13,4,6.3,3,0
24,20,3,1.7,1,1
70,9,4,1.6,3,1
51,15,3,5.5,4,1
69,6,5,6.6,1,1
87,3,5,9.6,3,1
32,19,2,4.2,0,1
48,10,1,7.6,2,0
28,15,2,1.2,3,0
62,19,2,8.9,5,1
21,3,1,6.3,4,0
25,16,2,6.3,0,1
27,12,0,1.4,4,0
84,10,3,0.4,5,1
48,2,4,7.0,5,0
70,8,1,1.2,2,0
80,5,0,1.3,4,0
83,20,5,1.9,5,1
48,10,4,1.0,3,0
19,15,4,6.3,5,1
85,18,4,4.2,5,1
91,4,2,2.7,3,0
62,13,2,4.4,0,0
60,16,2,8.4,2,1
48,2,2,9.3,2,0
70,3,0,4.9,1,0
0,15,2,5.7,1,0
95,15,1,2.6,3,1
12,20,4,5.1,5,1
93,3,0,7.5,4,0
86,18,5,4.9,5,1
50,16,2,3.0,5,1
55,12,5,5.8,4,1
82,0,4,9.5,0,0
61,11,0,8.9,2,0
31,3,4,7.7,3,0
29,10,5,2.8,4,1
28,4,0,2.4,1,0
48,1,3,8.4,3,0
44,16,0,1.8,0,0
92,7,2,6.1,3,1
29,5,5,4.4,4,1
15,20,4,4.7,0,1
39,8,4,4.5,5,1
18,12,4,9.0,1,1
17,10,1,0.9,1,0
0,15,1,7.8,4,0
77,15,2,8.4,0,1
46,1,3,9.4,1,0
65,9,1,4.5,0,0
91,11,0,5.0,3,1
93,7,5,9.6,2,1
37,10,2,4.6,2,0
50,9,3,5.0,2,0
62,12,0,3.3,1,0
3,16,4,0.3,4,0
0,6,1,4.3,2,0
7,2,0,6.6,5,0
28,19,3,6.9,4,1
54,12,2,0.1,2,0
2,18,0,8.0,3,0
31,6,2,4.9,2,0
9,8,4,5.2,4,0
73,18,3,9.6,1,1
82,12,3,2.8,5,1
33,7,1,7.6,3,0
96,17,5,5.7,4,1
86,1,3,7.0,0,0
54,17,0,4.2,2,1
91,17,0,2.8,3,1
31,10,0,5.5,1,0
49,0,4,3.7,0,0
6,13,3,2.2,2,0
92,15,3,8.4,3,1
7,10,0,4.8,5,0
64,0,1,8.5,4,0
56,6,1,4.7,2,0
66,15,3,5.6,3,1
87,13,3,10.0,2,1
86,14,2,9.5,5,1
58,13,3,2.7,3,1
71,20,0,8.7,4,1
53,10,5,3.9,2,1
100,15,4,0.7,3,1
66,18,3,5.8,0,1
50,16,3,9.8,1,1
96,5,0,9.7,5,1
91,10,2,1.3,3,1
7,16,5,7.7,3,1
33,8,3,8.0,3,0
34,17,1,3.7,2,1
95,16,1,6.6,5,1
87,11,1,4.9,1,1
77,4,4,2.3,5,1
31,10,4,7.6,2,1
45,3,5,2.6,3,0
15,3,3,3.4,5,0
67,2,3,1.9,3,0
36,16,3,7.2,1,1
53,6,4,4.6,0,0
84,3,5,4.4,2,1
13,12,3,6.0,0,0
94,11,0,1.6,5,1
54,0,2,9.0,3,0
47,20,1,4.7,3,1
81,18,1,3.7,4,1
6,20,0,1.3,4,0
73,19,3,1.7,0,1
6,17,5,9.2,4,1
32,10,5,4.6,5,1
22,19,4,7.2,1,1
84,2,3,0.8,5,1
18,16,5,6.4,0,1
18,11,3,9.2,5,1
35,9,1,3.0,4,0
28,7,1,5.8,4,0
59,14,4,9.4,1,1
81,4,1,7.2,5,1
1,3,3,0.6,1,0
0,20,0,3.8,0,0
46,19,4,0.9,2,1
68,18,0,8.6,5,1
19,20,3,6.2,5,1
10,3,4,9.6,1,0
1,14,0,0.2,4,0
66,16,4,4.2,0,1
86,11,3,1.0,2,1
11,2,5,3.5,5,0
19,9,4,1.6,0,0
4,14,5,3.3,4,1
36,9,3,8.2,2,0
37,17,4,1.6,2,1
93,0,4,4.7,1,0
8,2,5,9.2,3,0
97,20,1,10.0,4,1
52,11,5,2.5,3,1
43,0,5,9.4,4,0
98,2,5,2.6,0,0
85,2,3,4.1,3,0
23,4,2,8.8,5,0
80,18,5,7.9,5,1
73,0,4,8.6,5,1
29,3,0,8.0,2,0
58,3,1,2.4,1,0
86,16,5,5.6,4,1
95,13,5,3.9,1,1
80,17,1,4.6,4,1
80,0,5,1.5,5,1
13,15,4,3.2,2,0
8,2,2,8.6,2,0
39,20,5,9.0,2,1
65,8,1,6.1,2,0
24,3,5,5.0,2,0
72,20,3,7.1,5,1
21,4,4,6.1,1,0
3,10,4,9.8,0,0
25,20,2,1.9,3,1
57,8,3,4.5,1,0
28,2,3,9.2,5,0
97,5,2,9.1,3,1
86,10,0,5.0,0,0
36,8,5,1.3,4,1
74,14,3,8.1,0,1
69,2,0,5.9,0,0
17,0,0,7.7,5,0
84,19,4,4.6,4,1
41,18,5,2.0,3,1
99,13,4,0.2,2,1
40,16,1,5.6,4,1
37,13,4,1.6,4,1
33,16,3,1.9,0,0
16,13,3,4.4,4,1
36,11,5,4.4,1,1
24,15,0,2.7,2,0
75,0,3,1.3,0,0
86,12,4,9.4,3,1
85,5,4,1.3,3,1
84,16,5,3.5,3,1
26,11,4,3.0,3,0
56,18,2,8.7,3,1
30,5,5,4.1,0,0
5,6,5,1.2,1,0
90,0,3,0.1,1,0
39,0,5,7.2,3,0
97,4,1,7.1,1,0
11,5,3,4.2,2,0
52,15,3,1.3,1,1
70,15,2,3.7,4,1
9,13,3,5.9,3,0
44,0,0,7.0,4,0
16,12,4,0.8,4,0
25,19,4,5.6,3,1
84,9,5,2.8,5,1
91,9,2,6.2,0,1
61,8,4,6.5,5,1
45,12,0,9.1,1,0
63,2,2,4.1,5,0
1,17,1,5.4,2,0
53,19,4,2.7,5,1
64,1,3,2.9,5,0
50,16,0,0.5,0,0
52,18,0,2.9,2,1
35,12,4,0.6,5,1
25,12,5,9.6,3,1
28,0,1,6.2,1,0
20,1,3,1.7,5,0
10,0,1,1.2,0,0
39,4,1,3.7,3,0
10,2,4,3.1,0,0
35,6,3,2.8,4,0
58,12,4,4.7,5,1
38,17,4,9.1,1,1
98,20,5,5.7,1,1
53,6,0,5.2,3,0
97,0,5,8.1,3,1
54,4,5,0.0,3,0
23,16,4,2.0,1,0
21,7,5,5.0,5,0
68,14,5,7.1,4,1
55,19,2,4.9,1,1
32,3,3,1.6,3,0
35,1,0,9.3,2,0
19,4,3,3.3,5,0
82,0,0,7.9,4,0
98,4,2,8.9,1,1
80,5,4,3.5,2,1
61,1,0,8.5,5,0
97,0,0,7.1,4,0
72,3,0,9.0,1,0
25,6,2,2.5,5,0
65,0,3,9.3,5,0
72,0,2,0.7,3,0
72,7,0,7.9,1,0
39,19,5,4.4,5,1
16,15,0,1.8,4,0
0,20,5,0.8,3,1
88,12,4,3.9,5,1
60,17,2,3.9,0,1
42,19,5,2.3,2,1
41,9,2,2.2,5,0
24,11,1,4.0,3,0
38,0,3,4.1,3,0
34,9,1,4.4,4,0
2,8,5,8.7,5,0
100,2,1,6.1,5,1
43,18,3,0.2,4,1
50,8,5,5.2,2,1
93,9,4,7.6,4,1
97,18,4,0.6,3,1
11,15,3,4.2,2,1
18,17,3,4.5,2,0
100,13,5,9.5,1,1
43,2,2,4.8,3,0
58,1,5,7.5,3,0
48,0,2,3.0,4,0
60,17,2,7.8,3,1
16,8,2,3.2,5,0
73,12,5,4.3,4,1
56,1,0,4.8,3,0
54,6,0,9.3,5,0
46,15,4,0.5,1,1
11,20,0,2.0,3,0
61,18,0,7.1,1,1
79,14,2,5.8,3,1
87,10,2,2.5,3,1
82,0,3,2.9,0,0
7,20,2,3.7,5,1
94,6,5,4.5,3,1
20,19,3,8.2,1,1
80,7,3,0.1,2,1
86,9,0,9.0,1,1
100,4,2,4.1,5,1
79,8,0,2.3,3,0
69,0,2,5.1,4,0
71,1,0,6.6,0,0
24,18,0,0.4,4,1
81,13,0,7.2,0,1
88,19,5,7.6,0,1
11,9,4,1.7,4,0
14,8,0,1.7,5,0
58,9,1,2.0,3,0
25,5,1,8.0,1,0
25,16,1,2.7,4,1
46,5,5,8.0,2,0
31,3,3,5.4,0,0
9,19,0,7.7,1,1
15,2,1,5.5,2,0
70,18,5,3.4,1,1
16,17,3,9.1,3,1
22,3,1,7.2,2,0
25,7,2,4.8,5,0
84,16,4,6.4,5,1
85,4,0,6.2,4,0
6,12,4,3.6,1,0
13,0,4,4.2,5,0
78,12,2,3.2,5,1
6,3,2,10.0,4,0
8,13,2,5.8,4,0
47,2,3,0.9,5,0
71,4,1,5.2,1,0
58,6,0,0.5,1,0
86,0,2,2.9,0,0
92,11,5,4.5,0,1
81,10,0,5.3,2,0
94,7,0,9.8,2,1
93,5,0,9.8,2,1
38,1,2,1.0,0,0
98,18,2,5.4,4,1
17,19,1,8.2,5,1
58,19,2,2.4,3,1
16,13,2,7.5,3,1
13,0,0,8.8,5,0
30,9,1,6.6,1,0
23,15,4,3.3,0,0
98,3,2,9.2,1,1
59,10,5,8.8,3,1
44,15,2,7.2,1,1
97,19,4,3.6,0,1
2,0,0,7.9,0,0
36,15,1,3.2,0,0
42,18,0,2.5,3,1
39,20,3,5.2,0,1
89,8,2,10.0,2,1
54,8,5,8.0,2,1
86,8,3,7.3,5,1
38,16,2,4.5,0,0
14,11,3,3.1,2,0
3,12,4,8.6,0,0
92,7,2,5.7,3,1
85,15,5,8.1,2,1
24,17,2,4.9,3,1
12,0,3,7.5,2,0
81,0,1,8.7,4,0
32,11,3,3.9,4,1
15,5,2,0.1,5,0
41,8,2,2.5,5,0
65,4,1,9.1,5,1
54,15,0,6.9,3,1
98,17,1,7.4,2,1
41,16,0,3.3,4,0
33,17,5,7.0,0,1
29,0,2,6.5,1,0
12,18,4,1.8,4,1
12,7,4,9.7,4,0
17,2,3,3.5,0,0
31,4,1,3.3,4,0
95,7,1,3.7,4,1
98,18,4,0.9,4,1
38,17,0,6.2,5,1
45,17,1,2.4,5,1
28,20,0,8.0,2,1
61,0,0,3.9,5,0
92,14,0,4.6,4,1
61,17,0,6.5,1,1
56,6,3,7.6,5,1
15,15,3,2.3,2,0
55,15,4,9.7,2,1
9,14,3,6.2,3,0
29,5,5,0.1,4,0
24,8,1,4.2,1,0
83,6,5,4.4,1,1
4,13,3,8.1,3,0
64,10,1,3.1,1,0
93,20,1,3.3,2,1
48,15,0,0.7,0,0
2,5,4,2.8,2,0
44,15,0,7.2,5,1
13,19,0,6.3,0,0
29,15,5,0.8,1,1
67,11,3,1.1,4,1
17,16,5,3.8,0,1
61,4,3,7.4,2,0
36,12,5,8.3,2,1
24,7,1,0.1,5,0
47,4,3,3.3,2,0
64,11,3,4.2,5,1
52,8,5,9.1,2,1
78,2,2,5.0,3,1
72,2,1,2.7,1,0
14,0,1,3.9,4,0
48,17,2,4.4,5,1
87,11,5,6.7,3,1
67,8,5,0.4,1,1
11,8,1,3.9,5,0
58,17,5,6.5,0,1
36,17,4,2.8,3,1
60,6,4,5.9,5,1
100,3,2,3.6,3,1
42,12,3,7.6,3,1
69,16,4,0.6,3,1
38,1,5,9.2,0,0
55,13,2,1.7,2,1
62,2,4,1.6,3,0
45,4,0,8.4,1,0
87,13,2,8.7,2,1
10,2,1,0.9,0,0
61,6,4,9.1,4,1
76,17,1,2.7,0,1
97,12,2,6.2,4,1
24,9,4,0.7,1,0
70,12,1,3.8,4,1
51,15,3,4.5,5,1
3,8,3,6.0,3,0
58,1,0,5.3,2,0
71,4,5,4.6,5,1
19,16,2,9.6,2,0
92,3,5,1.9,3,1
62,16,5,1.6,2,1
53,8,1,7.1,0,0
73,19,0,0.7,3,1
97,1,2,4.8,3,0
56,17,3,4.8,2,1
89,20,5,3.1,5,1
40,10,1,9.3,4,0
2,12,5,2.8,1,0
5,7,4,2.9,4,0
4,0,3,2.3,0,0
4,16,5,1.5,3,0
53,11,4,3.6,3,1
46,3,4,6.8,0,0
86,20,1,7.4,1,1
48,12,1,8.1,3,1
8,8,4,2.0,4,0
98,6,0,0.4,0,0
19,4,5,9.7,3,0
60,4,4,0.1,4,0
34,16,4,9.6,0,1
49,8,1,8.3,0,0
81,5,5,9.1,0,1
61,18,2,3.9,1,1
16,15,3,2.0,0,0
87,20,1,6.1,5,1
2,1,5,7.4,2,0
31,9,5,1.3,2,0
98,15,0,8.0,0,1
12,4,3,2.1,3,0
88,14,1,4.9,2,1
72,12,1,8.6,4,1
67,12,2,1.9,4,1
13,12,0,2.4,3,0
100,14,0,0.6,4,1
97,13,5,1.5,5,1
10,7,5,1.5,3,0
55,10,1,2.0,4,0
66,17,2,2.9,0,1
91,3,1,8.1,4,0
28,9,4,9.2,0,0
8,0,5,4.1,4,0
66,4,4,1.3,4,0
24,12,2,2.2,4,0
97,0,1,7.4,0,0
75,7,5,6.8,4,1
41,2,2,9.7,4,0
8,2,1,0.1,5,0
78,6,1,7.5,1,1
39,3,4,5.1,0,0
24,2,3,9.0,5,0
4,14,0,5.8,2,0
10,7,5,4.5,3,0
58,2,0,6.7,1,0
97,6,2,8.3,5,1
87,17,0,2.8,5,1
78,10,4,1.1,4,1
37,10,3,4.3,2,0
71,16,5,2.1,2,1
4,5,1,4.3,4,0
47,7,1,9.9,5,0
89,0,4,5.7,5,1
17,9,5,6.9,4,1
69,18,0,6.8,1,1
36,2,1,8.2,0,0
59,3,0,9.4,1,0
47,10,4,6.6,0,1
76,14,1,4.8,2,1
27,0,2,3.2,3,0
68,8,3,3.6,4,1
76,10,0,3.3,1,1
80,18,5,3.2,2,1
39,12,0,6.9,1,0
44,15,0,5.9,5,1
95,3,0,2.0,0,0
61,0,4,9.7,4,1
92,19,4,4.3,5,1
57,12,5,5.7,0,1
66,0,4,7.0,5,0
55,4,5,6.1,0,0
39,4,5,3.1,0,0
97,13,4,8.0,5,1
39,13,1,1.1,2,0
90,7,4,5.7,4,1
76,3,1,2.7,3,0
32,6,2,6.2,1,0
5,19,4,2.2,0,0
87,18,2,7.7,4,1
18,14,4,2.3,1,0
79,3,2,8.9,4,1
39,18,3,8.6,5,1
91,8,2,3.6,1,1
96,20,1,3.9,4,1
58,12,0,7.0,3,1
58,13,5,0.9,4,1
47,13,2,0.8,4,0
40,9,0,1.4,0,0
12,15,3,5.6,0,0
44,4,3,1.5,0,0
88,5,1,2.8,5,1
52,1,1,6.5,4,0
41,12,2,0.2,3,0
99,12,4,1.8,1,1
62,18,3,9.3,0,1
26,17,0,6.6,2,0
37,18,4,3.1,4,1
59,0,3,0.5,3,0
6,7,2,5.9,3,0
4,15,3,2.2,0,0
44,1,1,9.6,5,0
57,7,0,6.9,0,0
30,5,0,9.7,5,0
22,15,1,8.5,2,1
41,10,4,4.8,2,0
9,16,1,6.7,0,0
31,18,0,8.1,1,0
52,10,2,5.8,0,1
29,7,4,0.6,0,0
38,3,5,4.7,3,0
30,10,3,1.3,0,0
81,7,5,7.1,0,1
99,8,2,6.8,0,1
1,1,5,9.9,1,0
77,15,4,6.3,3,1
76,5,0,8.0,4,1
92,20,0,2.7,4,1
11,20,2,3.4,4,1
38,18,5,9.2,4,1
65,7,4,7.6,3,1
95,13,3,6.6,0,1
12,15,5,2.5,4,1
45,11,5,7.0,0,1
26,4,3,8.9,4,0
16,18,1,2.3,1,0
94,17,2,7.1,0,1
97,8,4,3.9,3,1
59,1,2,1.2,5,0
63,19,3,7.6,1,1
87,11,4,1.7,5,1
34,1,0,2.5,1,0
69,9,0,7.8,3,1
82,0,4,7.4,1,0
29,3,2,2.5,0,0
70,11,2,9.4,2,1
73,8,0,2.2,2,0
95,3,0,9.9,4,1
97,8,3,7.4,4,1
62,5,4,3.9,0,0
27,0,2,1.3,3,0
59,9,3,3.2,0,0
78,13,2,1.9,4,1
93,17,0,6.2,1,1
36,5,4,3.6,5,0
92,17,1,3.0,0,1
21,19,4,7.6,0,1
67,15,5,2.3,3,1
19,14,1,5.9,4,0
95,15,3,1.9,0,1
99,7,1,7.1,1,1
67,12,1,6.3,5,1
90,10,3,8.0,1,1
63,6,4,0.7,2,1
16,16,3,2.1,4,1
11,17,5,1.5,1,0
21,18,0,1.9,3,0
16,12,0,1.0,5,0
9,14,1,5.6,4,0
64,0,3,5.9,1,0
21,15,3,8.4,0,1
89,4,3,4.2,4,0
81,2,5,5.3,1,0
49,9,5,9.9,0,1
13,18,4,5.3,2,1
63,4,2,5.7,5,0
46,6,2,10.0,4,0
28,13,2,9.9,4,1
75,2,4,4.2,1,0
35,12,3,6.3,2,0
98,12,2,4.8,3,1
51,9,3,7.2,1,0
75,1,1,9.4,1,0
6,5,2,3.1,3,0
28,7,1,8.2,3,0
10,3,4,6.5,3,0
32,11,0,2.8,5,0
5,14,5,8.0,3,1
78,7,4,4.3,3,1
31,6,4,1.2,0,0
50,13,4,9.9,0,1
74,18,2,4.3,3,1
57,13,1,5.4,5,1
86,12,5,8.1,5,1
25,20,2,9.6,2,1
97,0,0,8.7,5,0
45,18,5,5.3,2,1
97,0,4,5.5,3,0
28,3,3,2.8,5,0
3,9,0,4.6,0,0
80,2,1,9.5,2,0
98,19,0,7.3,0,1
12,8,2,0.1,1,0
38,2,3,1.2,0,0
14,5,2,9.2,3,0
28,5,5,8.5,5,0
28,11,4,4.9,5,1
74,0,4,6.2,4,0
31,15,0,2.9,3,0
1,4,4,7.9,1,0
46,8,4,6.0,5,1
77,9,5,6.9,0,1
83,12,1,3.7,2,1
21,14,1,4.3,3,0
74,11,2,2.1,5,1
26,4,2,9.5,2,0
66,4,1,9.5,0,0
80,17,0,8.2,5,1
55,11,1,9.4,1,1
91,2,2,6.7,3,1
92,6,3,2.3,2,1
20,16,4,7.6,5,1
46,18,5,3.3,3,1
79,17,3,4.4,5,1
100,0,3,2.7,3,0
58,4,4,4.2,2,0
83,1,1,6.8,1,0
5,0,0,1.1,3,0
18,6,3,1.1,1,0
56,10,0,6.8,1,0
68,10,5,7.8,0,1
2,17,5,5.5,5,1
0,16,5,1.8,2,1
57,1,2,4.3,0,0
37,6,3,7.6,4,0
14,6,5,6.9,5,1
33,9,2,1.1,0,0
60,20,5,9.7,3,1
34,2,1,2.2,3,0
63,11,3,2.2,3,1
24,2,2,4.6,4,0
23,10,5,3.3,1,0
11,11,2,9.8,3,0
17,3,5,0.8,5,0
14,15,1,3.1,5,0
79,19,0,3.8,0,1
26,17,5,4.9,1,1
71,3,0,0.2,0,0
59,5,3,0.8,0,0
45,20,1,2.6,3,1
88,14,3,5.5,0,1
16,0,0,7.7,4,0
92,2,1,6.9,5,0
52,4,4,5.7,5,1
7,16,1,4.0,5,0
78,13,1,8.7,1,1
26,8,4,4.6,3,0
45,2,2,3.0,3,0
49,12,2,6.3,0,1
70,2,2,6.9,0,0
2,10,0,4.0,2,0
92,1,1,0.3,2,0
63,14,5,0.9,3,1
43,12,4,8.5,3,1
52,18,5,0.6,0,1
23,15,0,5.9,4,0
59,17,4,1.8,4,1
2,6,5,2.3,5,0
19,12,0,2.7,0,0
45,3,0,0.4,2,0
14,8,0,1.8,2,0
24,9,4,6.5,4,0
93,8,5,5.0,3,1
77,6,5,8.0,0,1
70,14,3,0.6,5,1
16,7,0,8.9,5,0
